"PRODUCT NAME",MANUFACTURER,SYNONYM," HMIS - HEALTH"," HMIS - FLAMMABILITY","MIS PHYSICAL HAZARD"," HMIS - PPE","MSDS DATE","ACTIVE CHEMICAL","PDF DATE MANUAL","PDF ID","CREATED AT","UPDATED AT"
"Palmolive dish soap","Colgate Palmolive Co."," ",0,0,0,0,"2005-01-11 16:35:35",0,2005-01-11,57.pdf,"2013-03-12 07:36:41","2013-03-12 12:43:31"
"Pronto Instant Adhesive CA-40","3M Center",Adhesive,0,0,0,0,"2005-01-11 16:37:09",0,2005-01-11,58.pdf,"2013-03-12 07:36:41","2013-03-12 12:43:31"
"Pronto Instant Adhesive CA-40H","3M Center",Adhesive,0,0,0,0,"2005-01-11 16:39:40",0,2005-01-11,59.pdf,"2013-03-12 07:36:41","2013-03-12 12:43:31"
"Propylene Glycol IND","Ashland Specialty Chemical Company",Glycol,0,0,0,0,,0,,,"2013-03-12 07:36:41","2013-03-12 07:36:41"
"Dial liquid soap","Dial Corp"," ",0,0,0,0,"2005-01-11 16:43:50",0,2005-01-11,61.pdf,"2013-03-12 07:36:41","2013-03-12 12:43:31"
"Lacquer Thinner","AutoWax Company, Inc.",Solvent,0,0,0,0,,0,,,"2013-03-12 07:36:41","2013-03-12 07:36:41"
"Red floor sweep","R & D Sales"," ",0,0,0,0,"2011-09-14 17:33:49",0,2011-09-14,64.pdf,"2013-03-12 07:36:41","2013-03-12 12:43:31"
"Release Cote M-12","Caravan Products Co",,0,0,0,0,"2005-01-11 16:50:45",0,2005-01-11,65.pdf,"2013-03-12 07:36:41","2013-03-12 12:43:31"
"Brush Plus ","Plaid Enterprises","brush cleaner",0,0,0,0,"2005-01-11 16:52:18",0,2005-01-11,66.pdf,"2013-03-12 07:36:41","2013-03-12 12:43:31"
"Dutchboy paint","Dutch Boy",violet,0,0,0,0,"2011-09-14 17:34:49",0,2011-09-14,67.pdf,"2013-03-12 07:36:41","2013-03-12 12:43:31"
